id|name|url|latin_name|other_names|group|odor_profile|main_icon|alt_icons|background|fragrance_count
n4|Musk|https://www.fragrantica.com/notes/Musk-4.html|Angelica archangelica||Musk, amber, animalic smells|There is a wide variety of sources for musk smelling materials, including synthetic musks and natural ones, mainly obtained from plants, since deer musk is forbidden to obtain and sell. The musk is a secretion inside an internal pouch on the abdomen of the male deer. In order to get it, you have to kill the deer.|https://fimgs.net/mdimg/sastojci/t.4.jpg|https://fimgs.net/mdimg/sastojci/t2.4.jpg;https://fimgs.net/mdimg/sastojci/t3.4.jpg|https://fimgs.net/mdimg/sastojci/splash.4.jpg|55296
n74|www.fragrantica.com|https://www.fragrantica.com/notes/Vanilla-74.html||||||||39786
n105|Rose|https://www.fragrantica.com/notes/Rose-105.html|||Flowers|the king of flowers, lemony fresh with various nuances of powder, wood notes or fruit, feminine, clean, intensely romantic|https://fimgs.net/mdimg/sastojci/t.105.jpg|https://fimgs.net/mdimg/sastojci/t2.105.jpg;https://fimgs.net/mdimg/sastojci/t3.105.jpg|https://fimgs.net/mdimg/sastojci/splash.105.jpg|36599
n14|Jasmine|https://www.fragrantica.com/notes/Jasmine-14.html|Jasminum officinale||White flowers|Sweet, white floral, opulent, can be more indolic or greener and fresher when synthesized in the lab.|https://fimgs.net/mdimg/sastojci/t.14.jpg|https://fimgs.net/mdimg/sastojci/t2.14.jpg;https://fimgs.net/mdimg/sastojci/t3.14.jpg|https://fimgs.net/mdimg/sastojci/splash.14.jpg|36489
n54|Amber|https://www.fragrantica.com/notes/Amber-54.html|Physeter catodon||Musk, amber, animalic smells|A sweet, resinous, cozy and warm, often rather powdery note recreated from a mix of balsams, usually labdanum, benzoin, vanilla, styrax and fir or a combination of some of these. A default oriental note.|https://fimgs.net/mdimg/sastojci/t.54.jpg|https://fimgs.net/mdimg/sastojci/t2.54.jpg;https://fimgs.net/mdimg/sastojci/t3.54.jpg|https://fimgs.net/mdimg/sastojci/splash.54.jpg|35703
n75|www.fragrantica.com|https://www.fragrantica.com/notes/Bergamot-75.html||||||||35609
n33|Sandalwood|https://www.fragrantica.com/notes/Sandalwood-33.html|Santalum album||Woods and mosses|A classic oriental woody note, milky, soft, sturdy, rich, with a green top note and a satisfying lingering scent. The best quality used to be the Mysore sandalwood variety from India, nowadays greatly reduced to the point of extinction from perfumery due to shortage of the natural material (the species is protected from harvesting because it's an endangered species). Australian sandalwood and New Caledonian sandalwood are different species with a harsher odor profile.|https://fimgs.net/mdimg/sastojci/t.33.jpg|https://fimgs.net/mdimg/sastojci/t2.33.jpg;https://fimgs.net/mdimg/sastojci/t3.33.jpg|https://fimgs.net/mdimg/sastojci/splash.33.jpg|34285
n34|Patchouli|https://www.fragrantica.com/notes/Patchouli-34.html|Mentha cablin||Woods and mosses|An exotic bush that grows mainly in India, the leaves of which produce the essential oil of patchouli. Sweet, dark, with an earthy, woody edge, it is very popular in many blends, especially the contemporary woody floral musks. There are also synthetics and fractal extractions.|https://fimgs.net/mdimg/sastojci/t.34.jpg|https://fimgs.net/mdimg/sastojci/t2.34.jpg;https://fimgs.net/mdimg/sastojci/t3.34.jpg|https://fimgs.net/mdimg/sastojci/splash.34.jpg|31714
n41|www.fragrantica.com|https://www.fragrantica.com/notes/Cedar-41.html||||||||30285
n2|Vetiver|https://www.fragrantica.com/notes/Vetiver-2.html|Vetiveria zizanoides|vetivert, khus|Woods and mosses|Vetivers from different parts of the world differ a lot. For example, Haitian vetiver is clean and ethereal, while the Javanese one is smoky and dusty. If we have to generalize the scent, it is earthy, woody, green.|https://fimgs.net/mdimg/sastojci/t.2.jpg|https://fimgs.net/mdimg/sastojci/t2.2.jpg;https://fimgs.net/mdimg/sastojci/t3.2.jpg|https://fimgs.net/mdimg/sastojci/splash.2.jpg|18728
